period_id,project_id,baseline_budget,current_budget,actual_cost,committed_cost,forecast_cost,planned_cost_to_date,earned_value,budget_variance,budget_variance_pct,cost_variance,cpi,forecast_variance,burn_rate,remaining_budget
202501,1,1688000,1688000,831000,452000,1720000,863000,852000,-32000,-1.91,20000,1.025,-32000,831000,857000
202502,1,1688000,1688000,874000,321000,1720000,937000,920000,-32000,-1.91,46000,1.052,-32000,437000,814000
202503,1,1688000,1688000,959000,258000,1720000,1020000,1000000,-32000,-1.91,41000,1.042,-32000,320000,729000
202504,1,1688000,1688000,1061000,224000,1720000,1100000,1113000,-32000,-1.91,52000,1.049,-32000,265000,627000
202505,1,1688000,1688000,1121000,174000,1720000,1182000,1165000,-32000,-1.91,44000,1.039,-32000,224000,567000
202506,1,1688000,1688000,1271000,149000,1720000,1262000,1239000,-32000,-1.91,-33000,0.974,-32000,212000,417000
202507,1,1688000,1688000,1330000,117000,1720000,1345000,1353000,-32000,-1.91,23000,1.017,-32000,190000,358000
202508,1,1688000,1688000,1442000,71000,1720000,1427000,1426000,-32000,-1.91,-16000,0.989,-32000,180000,246000
202509,1,1688000,1688000,1441000,97000,1720000,1507000,1466000,-32000,-1.91,25000,1.017,-32000,160000,247000
202510,1,1688000,1688000,1529000,82000,1720000,1589000,1587000,-32000,-1.91,58000,1.038,-32000,153000,159000
202511,1,1688000,1688000,1624000,26000,1720000,1669000,1618000,-32000,-1.91,-6000,0.997,-32000,148000,64000
202512,1,1688000,1688000,1589000,42000,1720000,1688000,1651000,-32000,-1.91,62000,1.039,-32000,132000,99000
202601,1,1688000,1688000,1629000,35000,1720000,1688000,1675000,-32000,-1.91,45000,1.028,-32000,125000,59000
202602,1,1688000,1688000,1549000,70000,1720000,1688000,1620000,-32000,-1.91,71000,1.046,-32000,111000,139000
202603,1,1688000,1688000,1641000,26000,1720000,1688000,1671000,-32000,-1.91,30000,1.018,-32000,109000,47000
202604,1,1688000,1688000,1644000,29000,1720000,1688000,1627000,-32000,-1.91,-18000,0.989,-32000,103000,44000
202605,1,1688000,1688000,1663000,27000,1720000,1688000,1680000,-32000,-1.91,17000,1.01,-32000,98000,25000
202606,1,1688000,1688000,1614000,48000,1720000,1688000,1656000,-32000,-1.91,42000,1.026,-32000,90000,74000
202607,1,1688000,1688000,1629000,28000,1720000,1688000,1632000,-32000,-1.91,3000,1.002,-32000,86000,59000
202608,1,1688000,1688000,1670000,14000,1720000,1688000,1700000,-32000,-1.91,30000,1.018,-32000,84000,18000
202609,1,1688000,1688000,1729000,0,1729000,1688000,1690000,-41000,-2.4,-39000,0.978,-41000,82000,-41000
202610,1,1688000,1688000,1616000,26000,1720000,1688000,1644000,-32000,-1.91,28000,1.017,-32000,73000,72000
202611,1,1688000,1688000,1608000,34000,1720000,1688000,1711000,-32000,-1.91,103000,1.064,-32000,70000,80000
202612,1,1688000,1688000,1597000,53000,1720000,1688000,1683000,-32000,-1.91,86000,1.054,-32000,67000,91000
202501,2,2720000,2720000,134000,1043000,2959000,131000,113000,-239000,-8.8,-21000,0.844,-239000,134000,2586000
202502,2,2720000,2720000,206000,1322000,2959000,215000,181000,-239000,-8.8,-25000,0.878,-239000,103000,2514000
202503,2,2720000,2720000,299000,939000,2959000,307000,259000,-239000,-8.8,-40000,0.866,-239000,100000,2421000
202504,2,2720000,2720000,349000,1376000,2959000,397000,325000,-239000,-8.8,-25000,0.929,-239000,87000,2371000
202505,2,2720000,2720000,456000,1054000,2959000,489000,398000,-239000,-8.8,-57000,0.874,-239000,91000,2264000
202506,2,2720000,2720000,523000,1337000,2959000,579000,470000,-239000,-8.8,-53000,0.899,-239000,87000,2197000
202507,2,2720000,2720000,642000,1000000,2959000,671000,541000,-239000,-8.8,-101000,0.842,-239000,92000,2078000
202508,2,2720000,2720000,679000,623000,2959000,764000,621000,-239000,-8.8,-58000,0.915,-239000,85000,2041000
202509,2,2720000,2720000,779000,688000,2959000,853000,706000,-239000,-8.8,-73000,0.907,-239000,87000,1941000
202510,2,2720000,2720000,877000,963000,2959000,945000,757000,-239000,-8.8,-120000,0.863,-239000,88000,1843000
202511,2,2720000,2720000,955000,852000,2959000,1035000,820000,-239000,-8.8,-135000,0.858,-239000,87000,1765000
202512,2,2720000,2720000,1106000,475000,2959000,1127000,986000,-239000,-8.8,-120000,0.891,-239000,92000,1614000
202601,2,2720000,2720000,1225000,454000,2959000,1220000,1079000,-239000,-8.8,-145000,0.881,-239000,94000,1495000
202602,2,2720000,2720000,1342000,426000,2959000,1303000,1191000,-239000,-8.8,-152000,0.887,-239000,96000,1378000
202603,2,2720000,2720000,1420000,789000,2959000,1396000,1283000,-239000,-8.8,-137000,0.903,-239000,95000,1300000
