period_id,project_id,planned_progress_pct,actual_progress_pct,planned_value,earned_value_schedule,planned_milestones,completed_milestones,overdue_milestones,forecast_finish_date,schedule_variance_pct,spi,milestone_completion_pct,schedule_delay_days,delivery_risk_flag
202501,1,51.1,50.5,863000,852000,10,10,0,2025-12-10,-0.65,0.987,100.0,3,Low
202502,1,55.5,54.5,937000,920000,11,11,0,2025-12-12,-1.05,0.981,100.0,5,Low
202503,1,60.4,59.2,1020000,1000000,12,12,0,2025-12-12,-1.19,0.98,100.0,5,Low
202504,1,65.1,66.0,1100000,1113000,13,13,0,2025-12-07,0.81,1.012,100.0,0,Low
202505,1,70.0,69.0,1182000,1165000,14,14,0,2025-12-11,-1.01,0.986,100.0,4,Low
202506,1,74.8,73.4,1262000,1239000,15,15,0,2025-12-12,-1.38,0.982,100.0,5,Low
202507,1,79.7,80.1,1345000,1353000,16,16,0,2025-12-07,0.48,1.006,100.0,0,Low
202508,1,84.5,84.5,1427000,1426000,17,17,0,2025-12-07,-0.04,1.0,100.0,0,Low
202509,1,89.3,86.9,1507000,1466000,18,18,0,2025-12-14,-2.41,0.973,100.0,7,Low
202510,1,94.2,94.0,1589000,1587000,19,19,0,2025-12-07,-0.17,0.998,100.0,0,Low
202511,1,98.9,95.9,1669000,1618000,20,19,1,2025-12-15,-3.01,0.97,95.0,8,Low
202512,1,100,97.8,1688000,1651000,20,20,0,2025-12-13,-2.2,0.978,100.0,6,Low
202601,1,100,99.2,1688000,1675000,20,20,0,2025-12-09,-0.8,0.992,100.0,2,Low
202602,1,100,96.0,1688000,1620000,20,19,1,2025-12-18,-4.0,0.96,95.0,11,Low
202603,1,100,99.0,1688000,1671000,20,20,0,2025-12-09,-1.03,0.99,100.0,2,Low
202604,1,100,96.4,1688000,1627000,20,19,1,2025-12-17,-3.63,0.964,95.0,10,Low
202605,1,100,99.5,1688000,1680000,20,20,0,2025-12-08,-0.48,0.995,100.0,1,Low
202606,1,100,98.1,1688000,1656000,20,20,0,2025-12-12,-1.88,0.981,100.0,5,Low
202607,1,100,96.7,1688000,1632000,20,19,1,2025-12-16,-3.31,0.967,95.0,9,Low
202608,1,100,100,1688000,1700000,20,20,0,2025-12-07,0,1.007,100.0,0,Low
202609,1,100,100,1688000,1690000,20,20,0,2025-12-07,0,1.001,100.0,0,Low
202610,1,100,97.4,1688000,1644000,20,19,1,2025-12-14,-2.59,0.974,95.0,7,Low
202611,1,100,100,1688000,1711000,20,20,0,2025-12-07,0,1.014,100.0,0,Low
202612,1,100,99.7,1688000,1683000,20,20,0,2025-12-07,-0.27,0.997,100.0,0,Low
202501,2,4.8,4.2,131000,113000,1,1,0,2027-08-13,-0.67,0.861,100.0,56,Medium
202502,2,7.9,6.6,215000,181000,2,2,0,2027-08-21,-1.25,0.842,100.0,64,Medium
202503,2,11.3,9.5,307000,259000,2,2,0,2027-08-21,-1.77,0.843,100.0,64,Medium
202504,2,14.6,11.9,397000,325000,3,2,1,2027-08-31,-2.65,0.818,66.7,74,Medium
202505,2,18.0,14.6,489000,398000,4,3,1,2027-09-02,-3.34,0.814,75.0,76,Medium
202506,2,21.3,17.3,579000,470000,4,3,1,2027-09-03,-4.0,0.812,75.0,77,Medium
202507,2,24.7,19.9,671000,541000,5,4,1,2027-09-05,-4.79,0.806,80.0,79,Medium
202508,2,28.1,22.8,764000,621000,6,5,1,2027-09-02,-5.23,0.814,83.3,76,Medium
202509,2,31.4,25.9,853000,706000,6,5,1,2027-08-27,-5.41,0.827,83.3,70,Medium
202510,2,34.8,27.8,945000,757000,7,6,1,2027-09-07,-6.92,0.801,85.7,81,Medium
202511,2,38.0,30.2,1035000,820000,8,6,2,2027-09-11,-7.89,0.793,75.0,85,High
202512,2,41.4,36.3,1127000,986000,8,7,1,2027-08-08,-5.2,0.875,87.5,51,Medium
202601,2,44.8,39.7,1220000,1079000,9,8,1,2027-08-04,-5.16,0.885,88.9,47,Medium
202602,2,47.9,43.8,1303000,1191000,10,9,1,2027-07-23,-4.14,0.914,90.0,35,Low
202603,2,51.3,47.2,1396000,1283000,10,9,1,2027-07-21,-4.15,0.919,90.0,33,Low
202604,2,54.6,51.8,1485000,1410000,11,10,1,2027-07-08,-2.76,0.949,90.9,20,Low
202605,2,58.0,54.8,1578000,1491000,12,11,1,2027-07-10,-3.19,0.945,91.7,22,Low
202606,2,61.3,58.8,1667000,1599000,12,12,0,2027-07-04,-2.5,0.959,100.0,16,Low
202607,2,64.7,63.2,1760000,1720000,13,13,0,2027-06-27,-1.46,0.977,100.0,9,Low
202608,2,68.1,67.4,1852000,1834000,14,14,0,2027-06-22,-0.68,0.99,100.0,4,Low
202609,2,71.4,70.7,1942000,1922000,14,14,0,2027-06-22,-0.71,0.99,100.0,4,Low
202610,2,74.8,74.0,2034000,2014000,15,15,0,2027-06-22,-0.75,0.99,100.0,4,Low
202611,2,78.1,77.3,2124000,2102000,16,16,0,2027-06-22,-0.78,0.99,100.0,4,Low
202612,2,81.5,80.7,2216000,2194000,16,16,0,2027-06-22,-0.81,0.99,100.0,4,Low
202501,3,0,0,0,0,1,1,0,2028-06-11,0,0.705,100.0,104,High
202502,3,0,0,0,0,1,1,0,2028-06-09,0,0.711,100.0,102,High
202503,3,0,0,0,0,1,1,0,2028-06-07,0,0.717,100.0,100,High
202504,3,0,0,0,0,1,1,0,2028-06-08,0,0.716,100.0,101,High
202505,3,0,0,0,0,1,1,0,2028-06-06,0,0.72,100.0,99,High
202506,3,0,0,0,0,1,1,0,2028-06-12,0,0.703,100.0,105,High
202507,3,0,0,0,0,1,1,0,2028-06-21,0,0.677,100.0,114,High
202508,3,0,0,0,0,1,1,0,2028-06-10,0,0.708,100.0,103,High
202509,3,0,0,0,0,1,1,0,2028-06-16,0,0.693,100.0,109,High
202510,3,0,0,0,0,1,1,0,2028-06-13,0,0.699,100.0,106,High
202511,3,0,0,0,0,1,1,0,2028-06-22,0,0.675,100.0,115,High
202512,3,0.1,0.1,4000,2000,1,1,0,2028-06-15,-0.04,0.694,100.0,108,High
202601,3,4.1,2.7,112000,76000,1,1,0,2028-06-22,-1.31,0.676,100.0,115,High
202602,3,7.6,5.0,211000,139000,2,1,1,2028-06-27,-2.57,0.662,50.0,120,High
202603,3,11.5,7.8,320000,215000,2,1,1,2028-06-23,-3.77,0.673,50.0,116,High
202604,3,15.3,10.1,425000,281000,3,2,1,2028-06-27,-5.19,0.661,66.7,120,High
202605,3,19.2,12.5,534000,346000,4,3,1,2028-07-01,-6.76,0.649,75.0,124,High
202606,3,23.0,15.5,639000,430000,5,3,2,2028-06-23,-7.53,0.673,60.0,116,High
202607,3,27.0,17.9,748000,496000,5,3,2,2028-06-26,-9.08,0.663,60.0,119,High
202608,3,30.9,20.5,857000,570000,6,4,2,2028-06-26,-10.35,0.665,66.7,119,High
202609,3,34.7,21.9,962000,607000,7,4,3,2028-07-08,-12.79,0.631,57.1,131,High
202610,3,38.6,24.1,1071000,670000,8,5,3,2028-07-10,-14.47,0.625,62.5,133,High
202611,3,42.4,27.4,1177000,760000,8,5,3,2028-07-02,-15.03,0.646,62.5,125,High
202612,3,46.3,29.5,1286000,819000,9,6,3,2028-07-06,-16.81,0.637,66.7,129,High
202501,4,0,0,0,0,1,1,0,2027-03-23,0,0.75,100.0,64,High
202502,4,0,0,0,0,1,1,0,2027-03-22,0,0.751,100.0,63,High
202503,4,0,0,0,0,1,1,0,2027-03-21,0,0.756,100.0,62,High
202504,4,0,0,0,0,1,1,0,2027-03-21,0,0.758,100.0,62,High
202505,4,0,0,0,0,1,1,0,2027-03-25,0,0.741,100.0,66,High
202506,4,0.5,0.4,10000,8000,1,1,0,2027-03-21,-0.13,0.757,100.0,62,High
202507,4,6.0,4.5,114000,86000,1,1,0,2027-03-22,-1.47,0.753,100.0,63,High
202508,4,11.4,8.4,217000,160000,2,1,1,2027-03-26,-3.02,0.735,50.0,67,High
202509,4,16.7,12.3,318000,234000,3,2,1,2027-03-26,-4.38,0.737,66.7,67,High
202510,4,22.1,16.4,421000,312000,4,3,1,2027-03-25,-5.72,0.741,75.0,66,High
202511,4,27.4,20.4,521000,389000,5,4,1,2027-03-23,-6.92,0.747,80.0,64,High
202512,4,32.8,24.0,625000,457000,7,5,2,2027-03-27,-8.81,0.731,71.4,68,High
202601,4,38.2,30.7,729000,584000,8,6,2,2027-03-09,-7.59,0.802,75.0,50,Medium
202602,4,43.2,34.7,822000,661000,9,7,2,2027-03-09,-8.43,0.805,77.8,50,Medium
