period_id,role_id,available_capacity_hours,planned_demand_hours,actual_allocated_hours,open_demand_hours,utilization_pct,demand_capacity_gap_hours,capacity_status
202501,1,3360,3070,3070,0,91.3,290,Watch
202501,2,3680,3410,3410,0,92.7,270,Watch
202501,3,2240,2430,2190,230,108.4,-190,Constrained
202501,4,1280,1390,1320,70,108.6,-110,Constrained
202501,5,4800,4700,4700,0,97.9,100,Watch
202501,6,3360,3060,3060,0,91.0,300,Watch
202501,7,3200,3310,3230,90,103.6,-110,Constrained
202501,8,1120,1250,1100,150,111.6,-130,Critical
202501,9,1760,1550,1550,0,88.3,210,Healthy
202501,10,1920,2060,1880,180,107.3,-140,Constrained
202501,11,1600,1450,1450,0,90.8,150,Watch
202501,12,2080,1970,1970,0,94.7,110,Watch
202502,1,4480,4380,4380,0,97.9,100,Watch
202502,2,4000,3910,3910,0,97.8,90,Watch
202502,3,2240,2510,2250,260,112.1,-270,Critical
202502,4,1760,1910,1810,100,108.3,-150,Constrained
202502,5,5120,4840,4840,0,94.6,280,Watch
202502,6,2080,1940,1940,0,93.2,140,Watch
202502,7,3200,3450,3280,170,107.7,-250,Constrained
202502,8,1600,1830,1600,240,114.6,-230,Critical
202502,9,2240,2110,2110,0,94.4,130,Watch
202502,10,2400,2620,2460,150,109.0,-220,Constrained
202502,11,1920,1840,1840,0,95.7,80,Watch
202502,12,3360,3220,3220,0,95.9,140,Watch
202503,1,5280,5250,5250,0,99.4,30,Watch
202503,2,4000,3970,3970,0,99.3,30,Watch
202503,3,1920,2150,1890,270,112.1,-230,Critical
202503,4,2080,2300,2070,230,110.6,-220,Critical
202503,5,4320,4460,4180,280,103.2,-140,Constrained
202503,6,3360,3190,3190,0,94.9,170,Watch
202503,7,2240,2410,2270,140,107.5,-170,Constrained
202503,8,1600,1870,1550,320,116.9,-270,Critical
202503,9,1120,1070,1070,0,95.7,50,Watch
202503,10,1920,2110,1920,190,110.1,-190,Critical
202503,11,1760,1720,1720,0,97.9,40,Watch
202503,12,3360,3230,3230,0,96.0,130,Watch
202504,1,3840,3780,3780,0,98.5,60,Watch
202504,2,4160,3930,3930,0,94.4,230,Watch
202504,3,1280,1440,1250,190,112.8,-160,Critical
202504,4,2080,2350,2110,240,113.0,-270,Critical
202504,5,3360,3430,3400,30,102.1,-70,Constrained
202504,6,3520,3350,3350,0,95.2,170,Watch
202504,7,3200,3720,3210,510,116.4,-520,Critical
202504,8,2400,2890,2410,490,120.5,-490,Critical
202504,9,2080,1910,1910,0,92.0,170,Watch
202504,10,2240,2480,2160,320,110.9,-240,Critical
202504,11,2400,2280,2280,0,94.9,120,Watch
202504,12,3360,3200,3200,0,95.1,160,Watch
202505,1,4160,4130,4130,0,99.2,30,Watch
202505,2,5280,5430,5200,230,102.8,-150,Constrained
202505,3,1920,2240,1920,320,116.6,-320,Critical
202505,4,1280,1460,1290,180,114.3,-180,Critical
202505,5,3520,3690,3460,240,104.9,-170,Constrained
202505,6,3200,2920,2920,0,91.2,280,Watch
202505,7,2400,2700,2330,370,112.5,-300,Critical
202505,8,1600,1820,1620,200,113.9,-220,Critical
202505,9,1120,1050,1050,0,93.9,70,Watch
202505,10,1920,2200,1970,230,114.5,-280,Critical
202505,11,2080,1970,1970,0,94.9,110,Watch
202505,12,2400,2400,2380,10,99.8,0,Watch
202506,1,3680,3540,3540,0,96.3,140,Watch
202506,2,4320,4020,4020,0,93.1,300,Watch
202506,3,1280,1450,1300,150,113.3,-170,Critical
202506,4,1760,1990,1720,270,113.1,-230,Critical
202506,5,3360,3460,3430,20,102.9,-100,Constrained
202506,6,2080,1930,1930,0,92.6,150,Watch
202506,7,3360,3870,3430,450,115.2,-510,Critical
202506,8,1440,1680,1460,220,116.7,-240,Critical
202506,9,2080,1830,1830,0,88.2,250,Healthy
202506,10,1760,1940,1800,140,110.2,-180,Critical
202506,11,2080,2060,2060,0,98.9,20,Watch
202506,12,3200,3140,3140,0,98.1,60,Watch
202507,1,5440,5050,5050,0,92.8,390,Watch
202507,2,5280,5100,5100,0,96.6,180,Watch
202507,3,1760,1960,1720,240,111.1,-200,Critical
202507,4,1280,1500,1250,250,117.1,-220,Critical
202507,5,4960,5040,4900,140,101.5,-80,Constrained
202507,6,2240,2100,2100,0,93.7,140,Watch
202507,7,2080,2210,2000,210,106.2,-130,Constrained
202507,8,1280,1510,1260,250,117.9,-230,Critical
202507,9,1920,1810,1810,0,94.2,110,Watch
202507,10,2400,2750,2340,410,114.4,-350,Critical
202507,11,1600,1490,1490,0,93.2,110,Watch
202507,12,1920,1910,1900,10,99.5,10,Watch
202508,1,5280,4860,4860,0,92.0,420,Watch
202508,2,3520,3230,3230,0,91.8,290,Watch
202508,3,1600,1750,1620,130,109.5,-150,Constrained
202508,4,2080,2320,2030,300,111.6,-240,Critical
202508,5,5440,5300,5300,0,97.5,140,Watch
202508,6,3200,3050,3050,0,95.2,150,Watch
202508,7,3040,3410,3080,330,112.2,-370,Critical
202508,8,1920,2220,1850,370,115.7,-300,Critical
202508,9,1120,980,980,0,87.5,140,Healthy
202508,10,1760,1960,1790,170,111.1,-200,Critical
202508,11,1920,1690,1690,0,88.1,230,Healthy
202508,12,2880,2640,2640,0,91.5,240,Watch
202509,1,5440,5140,5140,0,94.6,300,Watch
202509,2,3520,3150,3150,0,89.6,370,Healthy
202509,3,1920,2030,1960,60,105.5,-110,Constrained
202509,4,1600,1700,1610,100,106.5,-100,Constrained
202509,5,4960,4870,4870,0,98.2,90,Watch
202509,6,2080,1890,1890,0,90.7,190,Watch
202509,7,3040,3280,3090,190,107.9,-240,Constrained
202509,8,2080,2270,2030,230,108.9,-190,Constrained
202509,9,2080,1780,1780,0,85.7,300,Healthy
202509,10,1280,1360,1270,90,106.6,-80,Constrained
202509,11,1280,1110,1110,0,86.7,170,Healthy
202509,12,2400,2260,2260,0,94.1,140,Watch
202510,1,5120,4560,4560,0,89.1,560,Healthy
202510,2,3520,3290,3290,0,93.5,230,Watch
202510,3,1600,1740,1610,140,108.9,-140,Constrained
202510,4,1760,1880,1800,80,106.8,-120,Constrained
202510,5,4960,4680,4680,0,94.3,280,Watch
202510,6,3200,2760,2760,0,86.1,440,Healthy
202510,7,2720,2890,2780,110,106.3,-170,Constrained
202510,8,2240,2560,2240,330,114.4,-320,Critical
202510,9,1280,1160,1160,0,90.9,120,Watch
202510,10,1760,1910,1800,110,108.4,-150,Constrained
202510,11,2400,2120,2120,0,88.3,280,Healthy
202510,12,2560,2510,2500,10,98.0,50,Watch
202511,1,3680,3440,3440,0,93.4,240,Watch
202511,2,4160,3790,3790,0,91.1,370,Watch
202511,3,1280,1340,1300,40,104.5,-60,Constrained
202511,4,1120,1230,1110,120,110.2,-110,Critical
202511,5,4160,3970,3970,0,95.3,190,Watch
202511,6,2400,2230,2230,0,92.8,170,Watch
202511,7,2880,3230,2930,300,112.2,-350,Critical
202511,8,1280,1420,1230,190,111.0,-140,Critical
202511,9,2080,1920,1920,0,92.2,160,Watch
202511,10,1600,1760,1640,120,110.2,-160,Critical
202511,11,2080,1980,1980,0,95.2,100,Watch
202511,12,2560,2410,2410,0,94.3,150,Watch
202512,1,3680,3400,3400,0,92.5,280,Watch
202512,2,5120,5050,5050,0,98.6,70,Watch
202512,3,1280,1460,1280,180,113.9,-180,Critical
202512,4,1920,2180,1940,250,113.6,-260,Critical
202512,5,3200,3210,3120,90,100.4,-10,Constrained
202512,6,2240,1970,1970,0,88.1,270,Healthy
202512,7,2720,3090,2780,310,113.6,-370,Critical
202512,8,1120,1300,1100,210,116.4,-180,Critical
202512,9,1600,1410,1410,0,88.4,190,Healthy
202512,10,1440,1610,1480,130,111.7,-170,Critical
202512,11,1280,1190,1190,0,92.8,90,Watch
202512,12,3200,3230,3090,140,101.0,-30,Constrained
202601,1,4160,3890,3890,0,93.6,270,Watch
202601,2,4800,4910,4800,110,102.3,-110,Constrained
202601,3,1440,1660,1470,190,115.3,-220,Critical
202601,4,1280,1520,1230,290,119.1,-240,Critical
