period_id,project_id,financial_health_score,schedule_health_score,risk_health_score,resource_health_score,overall_health_score,health_status,strategic_importance_score,executive_attention_score,executive_attention_flag
202501,1,85.9,92.7,100,70.3,88.4,Healthy,96.5,41.3,No
202502,1,90.3,91.6,86.2,60.8,83.8,Healthy,96.5,44.3,No
202503,1,88.8,91.4,100,58.7,86.4,Healthy,96.5,42.6,No
202504,1,89.9,97.2,86.2,58.2,84.8,Healthy,96.5,43.6,No
202505,1,88.2,92.4,100,51.8,85.1,Healthy,96.5,43.4,No
202506,1,77.9,91.7,72.4,60.2,77.1,Watch,96.5,48.7,No
202507,1,84.8,96.1,100,61.3,87.3,Healthy,96.5,42.0,No
202508,1,80.2,94.9,100,65.9,86.7,Healthy,96.5,42.4,No
202509,1,84.8,90.1,100,70.7,87.4,Healthy,96.5,42.0,No
202510,1,88.1,94.7,100,70.9,89.6,Healthy,96.5,40.5,No
202511,1,81.5,89.5,100,69.4,86.1,Healthy,96.5,42.8,No
202512,1,88.2,91.0,100,61.5,86.7,Healthy,96.5,42.4,No
202601,1,86.5,93.6,100,60.5,86.8,Healthy,96.5,42.4,No
202602,1,89.4,87.8,100,46.1,82.9,Healthy,96.5,44.9,No
202603,1,84.9,93.1,100,44.1,83.0,Healthy,96.5,44.8,No
202604,1,80.3,88.5,100,40.8,79.8,Watch,96.5,46.9,No
202605,1,83.6,94.1,100,46.0,83.3,Healthy,96.5,44.6,No
202606,1,86.2,91.6,100,45.8,83.2,Healthy,96.5,44.7,No
202607,1,82.3,89.0,100,50.7,82.4,Healthy,96.5,45.2,No
202608,1,84.8,96.2,100,59.2,86.9,Healthy,96.5,42.3,No
202609,1,78.4,95.2,93.1,58.1,83.1,Healthy,96.5,44.8,No
202610,1,84.8,90.3,100,48.0,82.9,Healthy,96.5,44.9,No
202611,1,92.2,97.4,100,58.2,88.9,Healthy,96.5,41.0,No
202612,1,90.6,94.5,100,52.7,86.5,Healthy,96.5,42.5,No
