period_id,period_name,period_start_date,fiscal_year,fiscal_quarter,project_count,total_approved_budget,total_current_budget,total_actual_cost,total_forecast_cost,avg_cpi,avg_spi,at_risk_or_critical_projects,executive_attention_projects,high_value_delivery_risk_projects,top5_budget_concentration_pct,top10_budget_concentration_pct,open_risks,open_high_or_critical_risks,total_risk_items,avg_role_utilization_pct,constrained_or_critical_roles
202501,Jan-2025,2025-01-01,2025,Q1,150,817103000,817103000,166454000,853491000,0.984,0.943,6,1,30,14.9,25.86,27,12,32,98.85000000000001,5
202502,Feb-2025,2025-02-01,2025,Q1,150,817103000,817103000,191013000,853747000,0.978,0.94,8,0,30,14.9,25.86,24,12,26,101.76666666666667,5
202503,Mar-2025,2025-03-01,2025,Q1,150,817103000,817103000,218331000,853491000,0.973,0.935,9,2,30,14.9,25.86,21,9,29,103.63333333333333,6
202504,Apr-2025,2025-04-01,2025,Q2,150,817103000,817103000,243209000,853627000,0.973,0.934,11,2,30,14.9,25.86,31,18,40,103.81666666666666,6
202505,May-2025,2025-05-01,2025,Q2,150,817103000,817103000,263843000,853533000,0.976,0.932,10,0,30,14.9,25.86,18,13,26,104.875,7
202506,Jun-2025,2025-06-01,2025,Q2,150,817103000,817103000,292104000,853623000,0.974,0.932,12,5,30,14.9,25.86,30,19,38,103.21666666666665,6
202507,Jul-2025,2025-07-01,2025,Q3,150,817103000,817103000,324771000,853726000,0.968,0.933,2,0,30,14.9,25.86,13,6,23,103.18333333333334,6
202508,Aug-2025,2025-08-01,2025,Q3,150,817103000,817103000,349823000,853806000,0.971,0.933,7,1,30,14.9,25.86,27,16,39,100.30833333333334,5
202509,Sep-2025,2025-09-01,2025,Q3,150,817103000,817103000,377555000,855596000,0.971,0.935,4,0,30,14.9,25.86,16,7,23,97.91666666666667,5
202510,Oct-2025,2025-10-01,2025,Q4,150,817103000,817103000,398033000,855483000,0.972,0.931,7,2,30,14.9,25.86,15,13,28,98.75,5
202511,Nov-2025,2025-11-01,2025,Q4,150,817103000,817103000,424153000,855562000,0.969,0.932,11,1,30,14.9,25.86,30,13,44,100.2,5
202512,Dec-2025,2025-12-01,2025,Q4,150,817103000,817103000,447718000,855405000,0.962,0.93,10,1,30,14.9,25.86,18,11,28,102.58333333333333,7
202601,Jan-2026,2026-01-01,2026,Q1,150,817103000,825055000,476382000,855166000,0.962,0.93,14,1,29,14.9,25.86,30,14,44,102.94166666666666,6
202602,Feb-2026,2026-02-01,2026,Q1,150,817103000,825055000,503142000,856359000,0.963,0.93,17,4,27,14.9,25.86,31,15,43,106.59166666666665,8
202603,Mar-2026,2026-03-01,2026,Q1,150,817103000,825055000,534850000,855986000,0.959,0.932,19,2,27,14.9,25.86,24,11,34,107.14166666666667,9
202604,Apr-2026,2026-04-01,2026,Q2,150,817103000,825055000,569557000,856781000,0.959,0.93,18,2,26,14.9,25.86,27,13,41,110.125,10
202605,May-2026,2026-05-01,2026,Q2,150,817103000,825055000,596903000,856126000,0.962,0.935,20,5,24,14.9,25.86,28,18,37,109.66666666666667,8
202606,Jun-2026,2026-06-01,2026,Q2,150,817103000,825055000,622982000,857352000,0.967,0.938,15,3,23,14.9,25.86,31,23,39,108.66666666666667,11
202607,Jul-2026,2026-07-01,2026,Q3,150,817103000,825055000,649068000,858342000,0.962,0.941,18,1,21,14.9,25.86,21,12,30,108.15833333333335,9
202608,Aug-2026,2026-08-01,2026,Q3,150,817103000,825055000,666014000,858089000,0.969,0.944,12,2,18,14.9,25.86,24,13,38,105.11666666666667,7
202609,Sep-2026,2026-09-01,2026,Q3,150,817103000,825055000,687124000,860049000,0.963,0.945,15,3,16,14.9,25.86,23,15,32,103.64999999999999,7
202610,Oct-2026,2026-10-01,2026,Q4,150,817103000,825055000,702666000,859606000,0.968,0.946,16,6,16,14.9,25.86,29,18,35,104.24166666666667,7
202611,Nov-2026,2026-11-01,2026,Q4,150,817103000,825055000,708715000,858078000,0.972,0.948,10,1,15,14.9,25.86,18,11,31,105.05833333333334,8
202612,Dec-2026,2026-12-01,2026,Q4,150,817103000,825055000,723868000,858197000,0.967,0.947,16,2,15,14.9,25.86,32,16,44,106.78333333333335,10
